instance,run,seed,island,model,percentile,threshold,objective,val_samples
bonus1000,9,81,4,SSVM,80,-0.705217,0.1014,47
bonus1000,9,81,8,MTLR,60,0.967294,0.2773,50
bonus1000,9,81,1,RSF,95,120.734248,-0.0173,50
bonus1000,9,81,3,DEEPSURV,95,95.0,-0.027,50
concentricCircles1,10,91,7,ELASTICNET,50,0.066043,0.4495,33
concentricCircles1,10,91,4,SSVM,50,-0.887942,0.5026,32
concentricCircles1,10,91,6,KNN,95,-11.38,0.0496,32
concentricCircles1,10,91,0,COX,50,1.096425,0.5549,34
concentricCircles1,10,91,1,RSF,55,66.792081,0.3707,36
concentricCircles1,10,91,2,GBSA,50,0.220801,0.1997,35
concentricCircles1,10,91,5,WEIBULLAFT,65,-13.476318,0.1426,34
concentricCircles1,10,91,8,MTLR,70,0.997427,0.1265,34
concentricCircles1,10,91,3,DEEPSURV,50,50.0,-0.0085,35
concentricCircles1,1,1,6,KNN,85,-13.386667,0.1243,36
concentricCircles1,1,1,4,SSVM,50,-1.227529,0.4288,33
concentricCircles1,1,1,7,ELASTICNET,50,0.058995,-0.0045,38
concentricCircles1,1,1,0,COX,60,1.100298,0.2422,33
concentricCircles1,1,1,1,RSF,50,58.314936,0.2103,35
concentricCircles1,1,1,2,GBSA,50,0.195347,0.3731,36
concentricCircles1,1,1,5,WEIBULLAFT,50,-13.653769,0.0675,34
concentricCircles1,1,1,3,DEEPSURV,50,50.0,0.4604,33
concentricCircles1,1,1,8,MTLR,65,0.856415,0.092,35
concentricCircles1,2,11,6,KNN,60,-23.653333,-0.0458,31
concentricCircles1,2,11,4,SSVM,50,-1.033926,0.7569,32
concentricCircles1,2,11,1,RSF,50,61.537693,0.2938,35
concentricCircles1,2,11,5,WEIBULLAFT,95,-10.667399,-0.0155,29
concentricCircles1,2,11,2,GBSA,50,0.202876,0.0421,37
concentricCircles1,2,11,0,COX,65,1.136738,0.1862,39
concentricCircles1,2,11,7,ELASTICNET,60,0.060699,0.2335,44
concentricCircles1,2,11,3,DEEPSURV,55,55.0,0.3007,34
concentricCircles1,3,21,6,KNN,75,-16.766667,0.2327,35
concentricCircles1,3,21,7,ELASTICNET,90,0.211878,-0.1257,
concentricCircles1,3,21,4,SSVM,50,-0.779126,0.0588,32
concentricCircles1,3,21,0,COX,60,1.111103,0.1378,34
concentricCircles1,3,21,1,RSF,70,62.04015,0.086,33
concentricCircles1,3,21,2,GBSA,50,0.210111,0.4783,35
concentricCircles1,3,21,5,WEIBULLAFT,50,-14.237313,0.4014,33
concentricCircles1,3,21,3,DEEPSURV,50,50.0,0.2364,36
concentricCircles1,3,21,8,MTLR,95,0.989589,-0.071,40
concentricCircles1,4,31,6,KNN,50,-19.666667,0.1722,36
concentricCircles1,4,31,4,SSVM,50,-0.683094,0.1603,31
concentricCircles1,4,31,7,ELASTICNET,60,0.125302,0.2772,36
concentricCircles1,4,31,0,COX,95,1.355994,0.0525,34
concentricCircles1,4,31,1,RSF,55,72.81202,0.3313,36
concentricCircles1,4,31,2,GBSA,50,0.103929,0.3284,34
concentricCircles1,4,31,5,WEIBULLAFT,95,-13.74474,0.0511,32
concentricCircles1,4,31,3,DEEPSURV,85,85.0,-0.0478,34
concentricCircles1,4,31,8,MTLR,95,0.996182,-0.0426,35
concentricCircles1,5,41,4,SSVM,50,-0.760065,0.3752,33
concentricCircles1,5,41,6,KNN,70,-16.4,0.1581,37
concentricCircles1,5,41,0,COX,60,1.085843,0.1886,34
concentricCircles1,5,41,2,GBSA,60,0.863716,0.3717,34
concentricCircles1,5,41,1,RSF,55,57.954279,0.2985,31
concentricCircles1,5,41,5,WEIBULLAFT,50,-14.309564,0.4461,31
concentricCircles1,5,41,7,ELASTICNET,85,0.323373,0.1431,40
concentricCircles1,5,41,3,DEEPSURV,95,95.0,0.0509,35
concentricCircles1,5,41,8,MTLR,75,0.928539,0.0202,36
concentricCircles1,6,51,6,KNN,70,-16.986667,0.1992,36
concentricCircles1,6,51,7,ELASTICNET,50,0.128414,0.4533,34
concentricCircles1,6,51,4,SSVM,50,-1.133033,0.5504,34
concentricCircles1,6,51,0,COX,50,1.148699,0.0614,36
concentricCircles1,6,51,2,GBSA,90,2.464099,0.0835,35
concentricCircles1,6,51,1,RSF,50,63.183225,0.1685,35
concentricCircles1,6,51,5,WEIBULLAFT,50,-16.236858,0.3086,33
concentricCircles1,6,51,3,DEEPSURV,50,50.0,0.1908,35
concentricCircles1,6,51,8,MTLR,50,0.947189,0.2469,36
concentricCircles1,7,61,6,KNN,50,-21.466667,0.4455,35
concentricCircles1,7,61,7,ELASTICNET,85,0.186198,0.0751,34
concentricCircles1,7,61,0,COX,85,1.324921,0.0994,34
concentricCircles1,7,61,4,SSVM,75,-1.059452,0.0829,33
concentricCircles1,7,61,1,RSF,55,69.421885,0.0908,35
concentricCircles1,7,61,2,GBSA,65,0.879673,0.1215,34
concentricCircles1,7,61,5,WEIBULLAFT,50,-16.479505,0.2,32
concentricCircles1,7,61,3,DEEPSURV,50,50.0,0.2442,35
concentricCircles1,7,61,8,MTLR,50,0.980483,0.6551,38
concentricCircles1,8,71,6,KNN,50,-22.233333,0.3615,34
concentricCircles1,8,71,0,COX,70,1.149657,0.0392,35
concentricCircles1,8,71,7,ELASTICNET,55,0.077914,0.3401,35
concentricCircles1,8,71,1,RSF,50,61.30699,0.1621,36
concentricCircles1,8,71,5,WEIBULLAFT,55,-14.400305,0.1386,33
concentricCircles1,8,71,2,GBSA,50,0.125491,0.2286,40
