feature_set,COX,RSF,GBSA,best
PRE_geom,0.5266,0.5167,0.5258,0.5285
PRE_pop,0.523,0.5165,0.527,0.5302
PRE_all,0.535,0.5209,0.534,0.5363
ORACLE,0.6536,0.6734,0.6874,0.6874
ORACLE_all,0.6602,0.6693,0.6876,0.6876
DRIFT,0.5322,0.5207,0.5332,0.5362
