instance,run,cohort_rank,relative_gain
concentricCircles4,run-1783974249_i0,0.7272727272727273,0.2611089206637861
concentricCircles4,run-1783974249_i0,0.0,0.1820232550179997
concentricCircles4,run-1783974249_i0,0.5,0.1960231045993738
concentricCircles4,run-1783974249_i0,0.2692307692307692,0.20330085001849182
concentricCircles4,run-1783974249_i0,0.19047619047619047,0.22735339407450003
concentricCircles4,run-1783974249_i0,0.7,0.28793209045135887
concentricCircles4,run-1783974249_i0,0.0,0.11591507696815727
concentricCircles4,run-1783974249_i0,0.8695652173913043,0.30186608559947775
concentricCircles4,run-1783974249_i0,0.85,0.2917865025750786
concentricCircles4,run-1783974249_i0,0.8,0.25869240569340973
concentricCircles4,run-1783974249_i0,0.19047619047619047,0.22322390342824847
concentricCircles4,run-1783974249_i0,0.34782608695652173,0.242098079417795
concentricCircles4,run-1783974249_i0,0.7894736842105263,0.2810616672639019
concentricCircles4,run-1783974249_i0,0.0,0.058399190457670815
concentricCircles4,run-1783974249_i0,0.8333333333333334,0.30153744019041917
concentricCircles4,run-1783974249_i0,0.11764705882352941,0.18182121080864955
concentricCircles4,run-1783974249_i0,0.8125,0.27312268838740333
concentricCircles4,run-1783974249_i0,0.7142857142857143,0.286779129608759
concentricCircles4,run-1783974249_i0,0.631578947368421,0.2665221422843493
concentricCircles4,run-1783974249_i0,0.25,0.21497656452199254
concentricCircles4,run-1783974249_i0,0.38461538461538464,0.24926314637577435
concentricCircles4,run-1783974249_i0,0.8235294117647058,0.28293372583956305
concentricCircles4,run-1783974249_i0,0.95,0.3177365146398983
concentricCircles4,run-1783974249_i0,0.05555555555555555,0.17645162558477798
concentricCircles4,run-1783974249_i0,0.037037037037037035,0.1470366983420142
concentricCircles4,run-1783974249_i0,0.3684210526315789,0.22854902635034788
concentricCircles4,run-1783974249_i0,0.0,0.17470099623228438
concentricCircles4,run-1783974249_i0,0.05555555555555555,0.15124780299039473
concentricCircles4,run-1783974249_i0,0.0,0.18639644246730191
concentricCircles4,run-1783974249_i0,0.36363636363636365,0.23894865403934626
concentricCircles4,run-1783974249_i0,0.0,0.16590193607403697
concentricCircles4,run-1783974249_i0,0.8571428571428571,0.29066175687396345
concentricCircles4,run-1783974249_i0,0.25,0.21780795424515284
concentricCircles4,run-1783974249_i0,0.08333333333333333,0.22411699638438676
concentricCircles4,run-1783974249_i0,0.5,0.2595060353260634
concentricCircles4,run-1783974249_i0,0.5,0.28731912254151676
concentricCircles4,run-1783974249_i0,0.058823529411764705,0.17661652597879782
concentricCircles4,run-1783974249_i0,0.8888888888888888,0.3098691478902505
concentricCircles4,run-1783974249_i0,0.6923076923076923,0.26709207946938446
concentricCircles4,run-1783974249_i0,0.0,0.13541672037549776
concentricCircles4,run-1783974249_i0,0.64,0.2571668588918955
concentricCircles4,run-1783974249_i0,0.2222222222222222,0.24681263733463646
concentricCircles4,run-1783974249_i0,0.8,0.25264294207075266
concentricCircles4,run-1783974249_i0,0.0,0.1308760617411223
concentricCircles4,run-1783974249_i0,0.36363636363636365,0.24356129827822065
concentricCircles4,run-1783974249_i0,0.07692307692307693,0.15922669138459655
concentricCircles4,run-1783974249_i0,0.07142857142857142,0.22851629777077337
concentricCircles4,run-1783974249_i0,0.3333333333333333,0.2188472652001122
concentricCircles4,run-1783974249_i0,0.2857142857142857,0.22426108784583756
concentricCircles4,run-1783974249_i0,0.0625,0.12007689973390305
concentricCircles4,run-1783974249_i0,0.75,0.2829840311947497
concentricCircles4,run-1783974249_i0,0.5,0.2675317468603538
concentricCircles4,run-1783974249_i0,0.2222222222222222,0.24530047954754738
concentricCircles4,run-1783974249_i0,0.35714285714285715,0.243866140449496
concentricCircles4,run-1783974249_i0,0.8,0.30206560721218706
concentricCircles4,run-1783974249_i0,1.0,0.331269257734786
concentricCircles4,run-1783974249_i0,0.7142857142857143,0.266642539508222
concentricCircles4,run-1783974249_i0,0.125,0.20880004817037492
concentricCircles4,run-1783974249_i0,0.9090909090909091,0.287406360228131
concentricCircles4,run-1783974249_i0,0.5,0.25645746607314196
concentricCircles4,run-1783974249_i0,0.8333333333333334,0.24356635398704726
concentricCircles4,run-1783974249_i0,0.5,0.257707570099918
concentricCircles4,run-1783974249_i0,0.16666666666666666,0.1894399231924121
concentricCircles4,run-1783974249_i0,0.4,0.23614280928588233
concentricCircles4,run-1783974249_i0,0.05555555555555555,0.19139323625105037
concentricCircles4,run-1783974249_i0,0.0,0.08579862992348053
concentricCircles4,run-1783974249_i0,0.5454545454545454,0.24277359892035535
concentricCircles4,run-1783974249_i0,0.2857142857142857,0.22897702374130355
concentricCircles4,run-1783974249_i0,1.0,0.28854837120714566
concentricCircles4,run-1783974249_i0,0.42857142857142855,0.23232315442349152
concentricCircles4,run-1783974249_i0,0.5,0.23936396511380553
concentricCircles4,run-1783974249_i0,0.5652173913043478,0.2459020978238677
concentricCircles4,run-1783974249_i0,0.21052631578947367,0.2228895229650963
concentricCircles4,run-1783974249_i0,1.0,0.5997939814268752
concentricCircles4,run-1783974249_i0,0.7142857142857143,0.31932185972033234
concentricCircles4,run-1783974249_i0,0.0,0.15973266694174176
concentricCircles4,run-1783974249_i0,1.0,0.30873669289592676
concentricCircles4,run-1783974249_i0,0.6666666666666666,0.20139370406323673
concentricCircles4,run-1783974249_i0,0.4,0.20253858937410701
concentricCircles4,run-1783974249_i0,0.625,0.25479248939324983
concentricCircles4,run-1783974249_i0,0.0,0.06392793495889638
concentricCircles4,run-1783974319_i0,0.7272727272727273,0.2611089206637861
concentricCircles4,run-1783974319_i0,0.0,0.1820232550179997
concentricCircles4,run-1783974319_i0,0.5,0.1960231045993738
concentricCircles4,run-1783974319_i0,0.84,0.26131659618267655
concentricCircles4,run-1783974319_i0,0.09090909090909091,0.09064483167665635
concentricCircles4,run-1783974319_i0,0.043478260869565216,0.0
concentricCircles4,run-1783974319_i0,0.28,0.1667279825223658
concentricCircles4,run-1783974319_i0,0.1,0.09601084685004854
concentricCircles4,run-1783974319_i0,0.3333333333333333,0.18116169761602996
concentricCircles4,run-1783974319_i0,0.7083333333333334,0.23354938868018457
concentricCircles4,run-1783974319_i0,0.10714285714285714,0.06057413534261123
concentricCircles4,run-1783974319_i0,0.75,0.22122043831111707
concentricCircles4,run-1783974319_i0,0.19047619047619047,0.12934121686335967
concentricCircles4,run-1783974319_i0,0.45,0.22382954336856895
concentricCircles4,run-1783974319_i0,0.8846153846153846,0.2912222307769757
concentricCircles4,run-1783974319_i0,0.5,0.1934958496213615
concentricCircles4,run-1783974319_i0,0.9259259259259259,0.290611692945103
concentricCircles4,run-1783974319_i0,0.9629629629629629,0.27693529260423544
concentricCircles4,run-1783974319_i0,0.09090909090909091,0.07073322390190356
concentricCircles4,run-1783974319_i0,0.2857142857142857,0.17491825692045954
concentricCircles4,run-1783974319_i0,0.5833333333333334,0.20447427884297742
concentricCircles4,run-1783974319_i0,0.35714285714285715,0.1725022996861402
concentricCircles4,run-1783974319_i0,0.32,0.17870950167458854
concentricCircles4,run-1783974319_i0,0.6086956521739131,0.2274342267332183
concentricCircles4,run-1783974319_i0,0.041666666666666664,0.14206793452871372
concentricCircles4,run-1783974319_i0,0.21052631578947367,0.052014092062113604
concentricCircles4,run-1783974319_i0,0.8947368421052632,0.28503792101844183
concentricCircles4,run-1783974319_i0,0.2692307692307692,0.154728451296426
concentricCircles4,run-1783974319_i0,0.0,0.0032988198737935607
concentricCircles4,run-1783974319_i0,0.9,0.27345655120448675
concentricCircles4,run-1783974319_i0,0.3181818181818182,0.14329059663529203
concentricCircles4,run-1783974319_i0,0.9166666666666666,0.3126631712324512
concentricCircles4,run-1783974319_i0,0.21739130434782608,0.10298369861291538
concentricCircles4,run-1783974319_i0,0.34615384615384615,0.1265858716188194
concentricCircles4,run-1783974319_i0,0.8888888888888888,0.2660048421414391
concentricCircles4,run-1783974319_i0,0.4230769230769231,0.20254225663379616
concentricCircles4,run-1783974319_i0,0.36,0.14086570404714088
concentricCircles4,run-1783974319_i0,0.0,0.0
concentricCircles4,run-1783974319_i0,0.6153846153846154,0.24712932280805003
concentricCircles4,run-1783974319_i0,0.45,0.18418920652550216
concentricCircles4,run-1783974319_i0,0.56,0.1690626535562089
concentricCircles4,run-1783974319_i0,0.4642857142857143,0.1504965402473155
concentricCircles4,run-1783974319_i0,0.21739130434782608,0.10734245037898019
concentricCircles4,run-1783974319_i0,0.375,0.13440838606901195
concentricCircles4,run-1783974319_i0,0.09090909090909091,0.03154792424829822
concentricCircles4,run-1783974319_i0,1.0,0.563420712571534
concentricCircles4,run-1783974319_i0,0.782608695652174,0.2440183930797805
concentricCircles4,run-1783974319_i0,1.0,0.5823503273160088
concentricCircles4,run-1783974319_i0,0.8947368421052632,0.31864111622595725
concentricCircles4,run-1783974319_i0,0.4074074074074074,0.147878243165164
concentricCircles4,run-1783974319_i0,0.16666666666666666,0.05295224876077578
concentricCircles4,run-1783974319_i0,0.7727272727272727,0.22277780059976182
concentricCircles4,run-1783974319_i0,0.6538461538461539,0.19158115084889618
concentricCircles4,run-1783974319_i0,0.09523809523809523,0.018218529028755107
concentricCircles4,run-1783974319_i0,0.55,0.1841988482823521
concentricCircles4,run-1783974319_i0,0.84,0.26962592957933706
concentricCircles4,run-1783974319_i0,0.0,3.191652339691039e-05
concentricCircles4,run-1783974319_i0,0.47619047619047616,0.20175270087635042
concentricCircles4,run-1783974319_i0,0.6818181818181818,0.20515229018090353
concentricCircles4,run-1783974319_i0,0.13043478260869565,0.03334263337252635
concentricCircles4,run-1783974319_i0,0.9629629629629629,0.27962351114520706
concentricCircles4,run-1783974319_i0,0.19230769230769232,0.10069988169395874
concentricCircles4,run-1783974319_i0,0.7619047619047619,0.19420905993150983
concentricCircles4,run-1783974319_i0,0.5,0.16613830318131068
concentricCircles4,run-1783974319_i0,0.875,0.21459743403454853
concentricCircles4,run-1783974319_i0,0.12,0.18333586448228523
concentricCircles4,run-1783974319_i0,0.23809523809523808,0.12175993544023965
concentricCircles4,run-1783974319_i0,0.4230769230769231,0.15233985821224919
concentricCircles4,run-1783974319_i0,0.8,0.2512334714821393
concentricCircles4,run-1783974319_i0,0.6666666666666666,0.17619920690951113
concentricCircles4,run-1783974319_i0,0.19230769230769232,0.09594750221880424
concentricCircles4,run-1783974319_i0,0.34782608695652173,0.12013298582651057
concentricCircles4,run-1783974319_i0,0.04,0.025144576594119582
concentricCircles4,run-1783974319_i0,0.7,0.1855865794611822
concentricCircles4,run-1783974319_i0,0.19047619047619047,0.1125206125301334
