kappa,kappa_mean,kappa_std,C_mean,C_std,n_instances
0.0,-0.0010609584685809797,0.014386617848892233,0.7300224589197282,0.00977062889622868,25
0.1,0.09524673808386325,0.00931328121626318,0.7125459043954074,0.008158966900454666,25
0.2,0.19915667958737995,0.01121902147864609,0.6933079314705068,0.009675009131769594,25
0.3,0.29493884042119656,0.009440581883675478,0.6746829180638332,0.010941543100587993,25
0.4,0.39074587298854735,0.012574042595924588,0.6558191568823949,0.012123712399430303,25
0.5,0.49487792759121285,0.009386913508631037,0.6345332439560716,0.012239303550595658,25
0.6,0.5959748485001818,0.007201458545725979,0.6126120748088079,0.013822843442325128,25
0.7,0.6947156715751462,0.006881907199207434,0.5895966332953312,0.015055325372689825,25
0.8,0.8000670095911464,0.004862182671151831,0.560216600662756,0.018985276778559358,25
0.9,0.9007777838045853,0.0020877511318595113,0.5258108551715363,0.02243286172981486,25
0.95,0.9499849369813902,0.000865215227804305,0.5024109535018686,0.025732378860022984,25
