instance,global_rho,cohort_rho,greedy_rho,lkh_rho,refine_rho
concentricCircles4,0.47638620669202686,0.14666538406006163,0.9364540383681117,0.5677692353597749,0.5216495438329817
kroD100_or2,0.12935090305783056,0.07976183824346134,0.99026055099404,0.5161380734927243,0.41594453745512644
rat195_or30,0.47869085543040785,0.20525539009116936,0.5547320232072468,0.6460152778723715,0.5770302669253933
